coding	meaning	node_id	parent_id	selectable
Block G00-G09	G00-G09 Inflammatory diseases of the central nervous system	87	6	N
Block G10-G14	G10-G14 Systemic atrophies primarily affecting the central nervous system	88	6	N
Block G20-G26	G20-G26 Extrapyramidal and movement disorders	89	6	N
Block G30-G32	G30-G32 Other degenerative diseases of the nervous system	90	6	N
Block G35-G37	G35-G37 Demyelinating diseases of the central nervous system	91	6	N
Block G40-G47	G40-G47 Episodic and paroxysmal disorders	92	6	N
Block G50-G59	G50-G59 Nerve, nerve root and plexus disorders	93	6	N
Block G60-G64	G60-G64 Polyneuropathies and other disorders of the peripheral nervous system	94	6	N
Block G70-G73	G70-G73 Diseases of myoneural junction and muscle	95	6	N
Block G80-G83	G80-G83 Cerebral palsy and other paralytic syndromes	96	6	N
Block G90-G99	G90-G99 Other disorders of the nervous system	97	6	N
Chapter VI	Chapter VI Diseases of the nervous system	6	0	N
G00	G00 Bacterial meningitis, not elsewhere classified	3176	87	N
G001	G00.1 Pneumococcal meningitis	3178	3176	Y
G009	G00.9 Bacterial meningitis, unspecified	3182	3176	Y
G01	G01 Meningitis in bacterial diseases classified elsewhere	3183	87	Y
G02	G02 Meningitis in other infectious and parasitic diseases classified elsewhere	3184	87	N
G020	G02.0 Meningitis in viral diseases classified elsewhere	3185	3184	Y
G03	G03 Meningitis due to other and unspecified causes	3188	87	N
G039	G03.9 Meningitis, unspecified	3193	3188	Y
G04	G04 Encephalitis, myelitis and encephalomyelitis	3194	87	N
G048	G04.8 Other encephalitis, myelitis and encephalomyelitis	3198	3194	Y
G049	G04.9 Encephalitis, myelitis and encephalomyelitis, unspecified	3199	3194	Y
G05	G05 Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere	3200	87	N
G051	G05.1 Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere	3202	3200	Y
G06	G06 Intracranial and intraspinal abscess and granuloma	3205	87	N
G060	G06.0 Intracranial abscess and granuloma	3206	3205	Y
G061	G06.1 Intraspinal abscess and granuloma	3207	3205	Y
G062	G06.2 Extradural and subdural abscess, unspecified	3208	3205	Y
G08	G08 Intracranial and intraspinal phlebitis and thrombophlebitis	3210	87	Y
G09	G09 Sequelae of inflammatory diseases of central nervous system	3211	87	Y
G11	G11 Hereditary ataxia	3213	88	N
G114	G11.4 Hereditary spastic paraplegia	3218	3213	Y
G119	G11.9 Hereditary ataxia, unspecified	3220	3213	Y
G12	G12 Spinal muscular atrophy and related syndromes	3221	88	N
G122	G12.2 Motor neuron disease	3224	3221	Y
G20	G20 Parkinson's disease	3233	89	Y
G24	G24 Dystonia	3250	89	N
G245	G24.5 Blepharospasm	3256	3250	Y
G248	G24.8 Other dystonia	3257	3250	Y
G249	G24.9 Dystonia, unspecified	3258	3250	Y
G25	G25 Other extrapyramidal and movement disorders	3259	89	N
G250	G25.0 Essential tremor	3260	3259	Y
G252	G25.2 Other specified forms of tremor	3262	3259	Y
G253	G25.3 Myoclonus	3263	3259	Y
G258	G25.8 Other specified extrapyramidal and movement disorders	3267	3259	Y
G259	G25.9 Extrapyramidal and movement disorder, unspecified	3268	3259	Y
G30	G30 Alzheimer's disease	3270	90	N
G300	G30.0 Alzheimer's disease with early onset	3271	3270	Y
G309	G30.9 Alzheimer's disease, unspecified	3274	3270	Y
G31	G31 Other degenerative diseases of nervous system, not elsewhere classified	3275	90	N
G310	G31.0 Circumscribed brain atrophy	3276	3275	Y
G312	G31.2 Degeneration of nervous system due to alcohol	3278	3275	Y
G318	G31.8 Other specified degenerative diseases of nervous system	3279	3275	Y
G319	G31.9 Degenerative disease of nervous system, unspecified	3280	3275	Y
G32	G32 Other degenerative disorders of nervous system in diseases classified elsewhere	3281	90	N
G328	G32.8 Other specified degenerative disorders of nervous system in diseases classified elsewhere	3283	3281	Y
G35	G35 Multiple sclerosis	3284	91	Y
G37	G37 Other demyelinating diseases of central nervous system	3290	91	N
G373	G37.3 Acute transverse myelitis in demyelinating disease of central nervous system	3294	3290	Y
G378	G37.8 Other specified demyelinating diseases of central nervous system	3297	3290	Y
G379	G37.9 Demyelinating disease of central nervous system, unspecified	3298	3290	Y
G40	G40 Epilepsy	3299	92	N
G400	G40.0 Localisation-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localised onset	3300	3299	Y
G401	G40.1 Localisation-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures	3301	3299	Y
G402	G40.2 Localisation-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures	3302	3299	Y
